id,name,age,birth_date,height_cm,weight_kgs,overall_rating,potential,nationality,value_euro,wage_euro,position
1,L. Messi,37,1987-06-24,170.18,72.1,94,94,Argentina,110500000.0,565000.0,CF
2,C. Eriksen,32,1992-02-14,154.94,76.2,88,89,Denmark,69500000.0,205000.0,CAM
3,P. Pogba,31,1993-03-15,190.5,83.9,88,91,France,73000000.0,255000.0,CM
4,L. Insigne,33,1991-06-04,162.56,59.0,88,88,Italy,62000000.0,165000.0,LW
5,K. Koulibaly,33,1991-06-20,187.96,88.9,88,91,Senegal,60000000.0,135000.0,CB
6,V. van Dijk,33,1991-07-08,193.04,92.1,88,90,Netherlands,59500000.0,215000.0,CB
7,K. Mbappé,26,1998-12-20,152.4,73.0,88,95,France,81000000.0,100000.0,RW
8,S. Agüero,36,1988-06-02,172.72,69.9,89,89,Argentina,64500000.0,300000.0,ST
9,M. Neuer,38,1986-03-27,193.04,92.1,89,89,Germany,38000000.0,130000.0,GK
10,E. Cavani,37,1987-02-14,185.42,77.1,89,89,Uruguay,60000000.0,200000.0,ST
11,Sergio Busquets,36,1988-07-16,187.96,76.2,89,89,Spain,51500000.0,315000.0,CDM
12,T. Courtois,32,1992-05-11,198.12,96.2,89,90,Belgium,53500000.0,240000.0,GK
13,M. ter Stegen,32,1992-04-30,187.96,84.8,89,92,Germany,58000000.0,240000.0,GK
14,A. Griezmann,33,1991-03-21,175.26,73.0,89,90,France,78000000.0,145000.0,CF
15,M. Salah,32,1992-06-15,175.26,71.2,89,90,Egypt,78500000.0,265000.0,RW
16,P. Dybala,31,1993-11-15,152.4,74.8,89,94,Argentina,89000000.0,205000.0,CAM
17,M. Škriniar,29,1995-02-11,187.96,79.8,86,93,Slovakia,53500000.0,89000.0,CB
18,Fernandinho,39,1985-05-04,152.4,67.1,87,87,Brazil,20500000.0,200000.0,CDM
19,G. Higuaín,37,1987-12-10,185.42,88.9,87,87,Argentina,48500000.0,205000.0,ST
20,I. Rakitić,36,1988-03-10,182.88,78.0,87,87,Croatia,46500000.0,260000.0,CM
21,J. Vertonghen,37,1987-04-24,187.96,86.2,87,87,Belgium,34000000.0,155000.0,CB
22,D. Mertens,37,1987-05-06,170.18,60.8,87,87,Belgium,45000000.0,135000.0,CF
23,Marcelo,36,1988-05-12,175.26,79.8,87,87,Brazil,36500000.0,240000.0,LB
24,T. Alderweireld,35,1989-03-02,185.42,81.2,87,88,Belgium,44000000.0,165000.0,CB
25,Jordi Alba,35,1989-03-21,170.18,68.0,87,87,Spain,38000000.0,250000.0,LB
26,Thiago,33,1991-04-11,175.26,69.9,87,87,Spain,51500000.0,140000.0,CM
27,C. Immobile,34,1990-02-20,185.42,84.8,87,87,Italy,52000000.0,115000.0,ST
28,K. Navas,38,1986-12-15,185.42,79.8,87,87,Costa Rica,30500000.0,195000.0,GK
29,Isco,32,1992-04-21,175.26,78.9,87,90,Spain,62500000.0,260000.0,CAM
30,J. Rodríguez,33,1991-07-12,154.94,74.8,87,88,Colombia,59000000.0,260000.0,CAM
31,Casemiro,32,1992-02-23,185.42,83.9,87,89,Brazil,50500000.0,240000.0,CDM
32,M. Icardi,31,1993-02-19,154.94,74.8,87,90,Argentina,64500000.0,130000.0,ST
33,Kepa,30,1994-10-03,185.42,84.8,84,90,Spain,31000000.0,92000.0,GK
34,H. Ziyech,31,1993-03-19,154.94,64.9,84,86,Morocco,38000000.0,31000.0,CAM
35,Fabinho,31,1993-10-23,187.96,78.0,84,88,Brazil,34000000.0,120000.0,CDM
36,A. Martial,29,1995-12-05,182.88,76.2,84,90,France,42500000.0,165000.0,LW
37,T. Werner,28,1996-03-06,154.94,74.8,84,87,Germany,40000000.0,77000.0,ST
38,N. Süle,29,1995-09-03,195.58,97.1,84,90,Germany,36500000.0,84000.0,CB
39,Bruno Fernandes,30,1994-09-08,152.4,68.9,84,88,Portugal,40500000.0,22000.0,CAM
40,Alex Telles,32,1992-12-15,154.94,71.2,84,86,Brazil,31000000.0,22000.0,LB
41,J. Giménez,29,1995-01-20,185.42,79.8,84,88,Uruguay,34000000.0,63000.0,CB
42,N. Fekir,31,1993-07-18,172.72,74.8,84,88,France,40500000.0,84000.0,CAM
43,D. Sánchez,28,1996-06-12,187.96,78.9,84,88,Colombia,34000000.0,105000.0,CB
44,Marco Asensio,28,1996-01-21,182.88,76.2,84,89,Spain,41500000.0,195000.0,LW
45,O. Dembélé,27,1997-05-15,152.4,67.1,84,92,France,46000000.0,170000.0,RW
46,Iniesta,40,1984-05-11,170.18,68.0,85,85,Spain,18500000.0,19000.0,CM
48,Jorginho,33,1991-12-20,154.94,67.1,83,84,Italy,30000000.0,140000.0,CM
49,E. Višća,34,1990-02-17,172.72,63.0,83,83,Bosnia Herzegovina,26000000.0,44000.0,RM
50,S. Gnabry,29,1995-07-14,175.26,74.8,83,87,Germany,34000000.0,85000.0,LM
51,M. Kovačić,30,1994-05-06,175.26,78.0,83,89,Croatia,35000000.0,165000.0,CM
52,William Carvalho,32,1992-04-07,187.96,83.0,83,86,Portugal,27000000.0,35000.0,CDM
53,Felipe,35,1989-05-16,190.5,86.2,83,84,Brazil,22500000.0,22000.0,CB
54,Y. Carrasco,31,1993-09-04,154.94,73.0,83,86,Belgium,33000000.0,20000.0,LM
55,Lucas Vázquez,33,1991-07-01,172.72,69.9,83,83,Spain,27000000.0,205000.0,RW
56,Q. Promes,32,1992-01-04,175.26,72.1,83,83,Netherlands,28000000.0,28000.0,LM
57,L. Goretzka,29,1995-02-06,187.96,78.9,83,88,Germany,34000000.0,85000.0,CM
58,A. Rabiot,29,1995-04-03,193.04,79.8,83,87,France,33000000.0,91000.0,CM
59,A. Romagnoli,29,1995-01-12,187.96,78.0,83,90,Italy,31000000.0,92000.0,CB
60,João Cancelo,30,1994-05-27,182.88,73.9,83,89,Portugal,29500000.0,105000.0,RB
61,Anderson Talisca,30,1994-02-01,190.5,79.8,83,87,Brazil,34000000.0,27000.0,CAM
62,K. Coman,28,1996-06-13,152.4,71.2,83,88,France,34500000.0,85000.0,LM
63,T. Lemar,29,1995-11-12,170.18,62.1,83,89,France,35500000.0,64000.0,LM
64,J. Tah,28,1996-02-11,195.58,97.1,82,87,Germany,25000000.0,61000.0,CB
65,M. Politano,31,1993-08-03,170.18,67.1,82,85,Italy,28000000.0,61000.0,RM
66,C. Lenglet,29,1995-06-17,185.42,81.2,82,88,France,26000000.0,135000.0,CB
67,Pau López,30,1994-12-13,187.96,77.1,82,87,Spain,21500000.0,21000.0,GK
68,H. Lozano,29,1995-07-30,175.26,69.9,82,87,Mexico,29500000.0,24000.0,RW
69,Malcom,27,1997-02-26,172.72,73.9,82,89,Brazil,31500000.0,140000.0,RW
70,L. Torreira,28,1996-02-11,167.64,64.0,82,87,Uruguay,25000000.0,98000.0,CDM
71,Gonçalo Guedes,28,1996-11-29,152.4,68.0,82,86,Portugal,29000000.0,36000.0,LM
72,G. Lo Celso,28,1996-04-09,175.26,69.9,82,88,Argentina,30000000.0,83000.0,CM
73,Fabián,28,1996-04-03,187.96,69.9,82,90,Spain,32000000.0,70000.0,CM
74,F. de Jong,27,1997-05-12,154.94,69.9,82,89,Netherlands,31000000.0,20000.0,CM
75,Raphaelito Anjos,36,1988-02-29,190.5,84.8,82,82,Brazil,14000000.0,32000.0,GK
76,Juiano Mestres,40,1984-02-29,154.94,82.1,82,82,Brazil,6500000.0,39000.0,CB
77,Rosberto Dourado,36,1988-02-29,175.26,69.9,82,82,Brazil,16500000.0,46000.0,CDM
78,Arthur,28,1996-08-12,170.18,73.0,82,90,Brazil,32500000.0,125000.0,CM
79,Rodri,28,1996-06-22,190.5,82.1,82,87,Spain,29000000.0,59000.0,CM
80,M. Parolo,39,1985-01-25,182.88,74.8,82,82,Italy,9000000.0,59000.0,CDM
81,M. Kruse,36,1988-03-19,154.94,76.2,82,82,Germany,21500000.0,45000.0,CF
82,J. Henderson,34,1990-06-17,182.88,79.8,82,82,England,18000000.0,125000.0,CDM
83,N. Gaitán,36,1988-02-23,172.72,66.2,82,82,Argentina,21000000.0,22000.0,CAM
84,M. Arnautović,35,1989-04-19,193.04,83.0,82,82,Austria,22000000.0,120000.0,ST
85,S. Giovinco,37,1987-01-26,162.56,60.8,82,82,Italy,20000000.0,61000.0,CF
86,G. Sigurðsson,35,1989-09-08,185.42,77.1,82,82,Iceland,22500000.0,125000.0,CAM
87,Giuliano,34,1990-05-31,172.72,68.0,82,82,Brazil,22500000.0,59000.0,CAM
88,P. Gulácsi,34,1990-05-06,193.04,86.2,82,83,Hungary,18000000.0,53000.0,GK
89,Luiz Gustavo,37,1987-07-23,187.96,78.0,82,82,Brazil,16500000.0,57000.0,CDM
90,K. Trippier,34,1990-09-19,152.4,72.1,82,82,England,18500000.0,99000.0,RB
91,A. Ramsey,34,1990-12-26,182.88,76.2,82,82,Wales,23000000.0,130000.0,CM
92,M. Balotelli,34,1990-08-12,187.96,88.0,82,82,Italy,23500000.0,68000.0,ST
95,G. Bonaventura,35,1989-08-22,154.94,74.8,82,82,Italy,22000000.0,115000.0,CM
96,G. Kondogbia,31,1993-02-15,187.96,79.8,81,84,Central African Rep.,22000000.0,43000.0,CM
97,J. Roussillon,31,1993-01-06,175.26,79.8,81,83,France,18000000.0,50000.0,LB
98,S. Zaza,33,1991-06-25,185.42,83.9,81,82,Italy,21000000.0,48000.0,ST
99,S. Vrsaljko,32,1992-01-10,154.94,76.2,81,81,Croatia,15000000.0,57000.0,RB
